Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA
E0,24-04-2016,Leicester,Swansea,4,0,H,2,0,H,M Clattenburg,18,9,9,1,15,10,4,6,1,2,0,0,1.75,3.7,5.5,1.7,3.5,5,1.7,3.6,4.7,1.75,3.6,5.5,1.74,3.79,5.54,1.75,3.5,5,46,1.8,1.73
E0,24-04-2016,Sunderland,Arsenal,0,0,D,0,0,D,M Dean,12,20,3,7,10,8,7,7,2,4,0,0,4.5,4,1.8,4.5,3.8,1.72,4.3,3.65,1.75,4.5,3.8,1.8,4.89,4.02,1.76,4.5,3.5,1.8,46,5,4.64
E0,25-04-2016,Tottenham,West Brom,1,1,D,1,0,H,M Jones,19,16,2,3,8,13,9,7,0,1,0,0,1.22,7,15,1.25,5.5,12,1.25,5.5,10.3,1.25,6,15,1.24,6.82,15.4,1.25,5.5,13,45,1.25,1.22
E0,30-04-2016,Arsenal,Norwich,1,0,H,0,0,D,M Jones,14,12,3,3,8,7,7,3,1,0,0,0,1.29,6.5,11,1.25,6,12.5,1.22,5.5,12,1.25,5.75,12,1.27,6.28,13.26,1.29,5,12,45,1.29,1.26
E0,30-04-2016,Everton,Bournemouth,2,1,H,1,1,D,N Swarbrick,12,16,5,2,4,8,3,5,1,0,0,0,2,3.8,3.8,2,3.6,3.7,1.9,3.45,3.8,1.95,3.6,3.6,2,3.8,3.89,2.05,3.1,4,46,2.05,1.98
E0,30-04-2016,Newcastle,Crystal Palace,1,0,H,0,0,D,M Dean,10,9,4,3,11,12,4,8,2,0,0,0,2,3.6,4,1.95,3.5,4,1.9,3.45,3.8,2,3.3,3.75,2.03,3.54,4.08,2.05,3.1,4,46,2.05,1.99
E0,30-04-2016,Stoke,Sunderland,1,1,D,0,0,D,C Pawson,11,14,3,5,13,13,2,8,2,2,0,0,2.75,3.3,2.8,2.65,3.2,2.75,2.6,3.2,2.6,2.62,3.1,2.7,2.75,3.3,2.83,2.62,3.1,2.8,46,2.75,2.68
E0,30-04-2016,Watford,Aston Villa,3,2,H,1,1,D,A Taylor,18,7,6,2,14,10,8,4,2,3,0,1,1.7,3.8,5.75,1.67,3.8,5.25,1.6,3.9,5,1.7,3.6,5,1.74,3.95,5.23,1.7,3.5,5.5,46,1.75,1.7
E0,30-04-2016,West Brom,West Ham,0,3,A,0,2,A,L Mason,15,8,5,4,14,7,8,6,0,0,0,0,4,3.4,2.1,3.8,3.5,2,3.1,3.3,2.2,3.8,3.3,1.95,4.06,3.49,2.05,3.7,3.2,2.1,46,4.1,3.82
E0,01-05-2016,Man United,Leicester,1,1,D,1,1,D,M Oliver,21,14,6,3,16,10,6,5,3,0,0,1,2.1,3.4,3.9,2.1,3.4,3.6,1.9,3.45,3.8,2,3.3,3.8,2.07,3.45,4.04,2.15,3.1,3.6,46,2.15,2.05
E0,01-05-2016,Southampton,Man City,4,2,H,2,1,H,A Marriner,14,6,7,5,12,9,8,2,2,1,0,0,2.8,3.4,2.7,2.7,3.4,2.6,2.65,3.3,2.5,2.62,3.3,2.62,2.73,3.44,2.75,2.75,3.1,2.7,46,2.8,2.68
E0,01-05-2016,Swansea,Liverpool,3,1,H,2,0,H,R East,18,11,9,3,12,13,4,7,2,2,0,1,3.1,3.5,2.4,3.1,3.4,2.3,3.1,3.3,2.2,3,3.4,2.3,3.15,3.56,2.37,3.1,3.1,2.4,46,3.15,3.05
E0,02-05-2016,Chelsea,Tottenham,2,2,D,0,2,A,M Clattenburg,13,16,5,5,9,20,7,8,3,9,0,0,2.75,3.6,2.63,2.65,3.5,2.6,2.6,3.2,2.6,2.62,3.4,2.6,2.72,3.56,2.69,2.75,3.1,2.7,45,2.75,2.68
E0,07-05-2016,Aston Villa,Newcastle,0,0,D,0,0,D,R Madley,2,9,0,3,8,13,0,5,1,1,0,0,5.75,4.2,1.65,5.25,3.9,1.6,5,3.9,1.6,5.5,4,1.65,5.39,4.17,1.68,6,3.6,1.62,48,6,5.45
E0,07-05-2016,Bournemouth,West Brom,1,1,D,0,1,A,M Clattenburg,12,12,4,4,5,8,5,3,2,1,0,0,1.95,3.6,4.2,1.9,3.4,4,1.9,3.15,4.2,1.95,3.5,4.33,1.96,3.54,4.38,1.91,3.2,4.33,48,1.96,1.92
E0,07-05-2016,Crystal Palace,Stoke,2,1,H,0,1,A,K Friend,17,12,4,3,8,18,4,3,2,3,0,0,2.05,3.5,3.9,2.05,3.2,3.7,1.85,3.45,4,2.1,3.4,3.8,2.07,3.53,3.93,2.1,3.25,3.6,48,2.11,2.03
E0,07-05-2016,Leicester,Everton,3,1,H,2,0,H,A Marriner,32,9,8,5,4,12,12,4,0,3,0,0,1.91,4,4,1.83,3.5,4.25,1.9,3.45,3.8,1.9,3.75,4.2,1.91,3.98,4.07,1.91,3.2,4.33,48,1.93,1.87
E0,07-05-2016,Norwich,Man United,0,1,A,0,0,D,C Pawson,8,15,2,2,11,10,1,6,1,0,0,0,4.5,3.6,1.91,4.1,3.4,1.87,3.7,3.5,1.9,4.33,3.6,1.91,4.59,3.68,1.88,4.5,3.1,1.91,48,4.75,4.39
E0,07-05-2016,Sunderland,Chelsea,3,2,H,1,2,A,M Jones,15,9,4,8,11,9,3,3,4,1,0,1,3,3.5,2.45,2.95,3.3,2.35,2.6,3.2,2.6,3,3.5,2.45,3.02,3.55,2.45,3,3.2,2.38,47,3.02,2.89
E0,07-05-2016,West Ham,Swansea,1,4,A,0,2,A,M Oliver,25,13,7,6,11,8,13,3,3,0,0,0,1.44,4.75,8,1.45,4.25,6.75,1.47,4,6.6,1.44,4.75,8,1.43,4.96,8.34,1.44,4.33,7,48,1.47,1.43
E0,08-05-2016,Liverpool,Watford,2,0,H,1,0,H,L Mason,19,14,5,3,10,15,8,8,1,2,0,0,1.5,4.5,7.5,1.44,4.4,6.75,1.4,4.4,7.3,1.53,4.5,6.5,1.54,4.65,6.48,1.5,4,7,48,1.54,1.49
E0,08-05-2016,Man City,Arsenal,2,2,D,1,1,D,A Taylor,14,5,3,2,16,10,7,2,2,1,0,0,2.5,3.6,2.9,2.55,3.4,2.6,2.4,3.2,2.85,2.5,3.5,2.9,2.54,3.53,2.92,2.5,3.1,2.9,48,2.56,2.48
E0,08-05-2016,Tottenham,Southampton,1,2,A,1,1,D,J Moss,20,10,6,2,8,16,10,2,0,3,0,0,2.05,3.6,3.9,1.91,3.6,3.7,1.9,3.45,3.8,2,3.6,4,2.03,3.71,3.88,1.91,3.4,4,48,2.05,1.98
E0,10-05-2016,West Ham,Man United,3,2,H,1,0,H,M Dean,20,3,6,2,6,18,6,2,1,3,0,0,3,3.5,2.45,2.85,3.5,2.4,3,3.2,2.3,3,3.4,2.45,3.01,3.56,2.46,3,3.25,2.4,48,3.1,2.96
E0,11-05-2016,Liverpool,Chelsea,1,1,D,0,1,A,M Oliver,28,13,9,7,11,12,7,3,3,1,0,0,2,3.8,3.8,1.95,3.5,3.7,1.9,3.45,3.8,1.91,3.6,3.6,2.02,3.86,3.76,1.95,3.5,3.75,48,2.05,1.97
E0,11-05-2016,Norwich,Watford,4,2,H,3,1,H,R East,18,12,6,7,8,12,5,1,2,3,0,0,1.83,3.75,4.75,1.75,3.75,4.33,1.8,3.6,4,1.8,3.6,4.33,1.85,3.82,4.6,1.8,3.3,5,47,1.87,1.82
E0,11-05-2016,Sunderland,Everton,3,0,H,2,0,H,A Taylor,14,17,8,6,15,7,5,5,1,0,0,0,1.75,4,5,1.72,3.5,5,1.55,4,5.4,1.7,3.8,4.75,1.75,4,5.05,1.73,3.5,5,48,1.8,1.73
E0,15-05-2016,Arsenal,Aston Villa,4,0,H,1,0,H,M Clattenburg,16,5,7,2,12,6,5,4,0,1,0,0,1.17,9,17,1.16,7,16,1.17,6.5,14,1.15,9,19,1.17,9.35,18,1.14,7.5,19,50,1.2,1.15
E0,15-05-2016,Chelsea,Leicester,1,1,D,0,0,D,C Pawson,17,18,4,5,4,12,7,6,0,0,0,0,2.3,3.75,3.1,2.25,3.6,2.9,2.1,3.3,3.3,2.3,3.75,3,2.33,3.76,3.07,2.3,3.3,3.1,50,2.35,2.28
E0,15-05-2016,Everton,Norwich,3,0,H,2,0,H,L Mason,15,10,8,2,7,11,4,11,0,0,0,0,1.8,4,4.5,1.75,3.8,4.33,1.85,3.45,4,1.8,4.2,4.2,1.75,4.33,4.58,1.75,3.75,4.5,49,1.85,1.75
E0,15-05-2016,Newcastle,Tottenham,5,1,H,2,0,H,A Taylor,19,17,10,5,7,6,3,8,1,2,1,0,4.5,4,1.8,4.1,3.7,1.8,4.5,3.5,1.75,4.33,4,1.8,4.54,4.16,1.79,4.5,3.4,1.83,50,4.6,4.38
E0,15-05-2016,Southampton,Crystal Palace,4,1,H,1,0,H,M Oliver,18,16,5,4,7,14,2,5,1,2,0,0,1.36,5.5,9,1.33,4.75,9.25,1.4,4.4,7.3,1.33,5.5,9.5,1.34,5.69,9.9,1.36,4.8,8,50,1.4,1.33
E0,15-05-2016,Stoke,West Ham,2,1,H,0,1,A,M Jones,7,20,4,7,8,12,4,10,3,1,0,0,3.5,3.6,2.15,3.3,3.4,2.1,2.9,3.3,2.3,3.4,3.75,2.1,3.48,3.82,2.12,3.5,3.1,2.2,50,3.5,3.37
E0,15-05-2016,Swansea,Man City,1,1,D,1,1,D,M Dean,4,18,1,5,4,19,4,4,1,3,0,0,6,4.75,1.53,5.75,4.5,1.48,7,4,1.45,6.5,4.33,1.53,6.46,4.79,1.52,5.5,4.33,1.53,50,7,6.04
E0,15-05-2016,Watford,Sunderland,2,2,D,0,1,A,K Friend,21,6,6,4,11,10,7,4,1,0,0,0,2.05,3.75,3.7,2.05,3.3,3.6,2.2,3.3,3.1,2.05,3.75,3.6,2.03,3.8,3.78,1.95,3.75,3.6,50,2.2,2.02
E0,15-05-2016,West Brom,Liverpool,1,1,D,1,1,D,R Madley,13,7,1,3,11,14,7,5,3,1,0,0,2.4,3.6,3,2.35,3.5,2.75,2.5,3.4,2.6,2.4,3.6,2.9,2.42,3.7,2.97,2.4,3.1,3.1,50,2.5,2.38
E0,17-05-2016,Man United,Bournemouth,3,1,H,1,0,H,J Moss,12,7,5,0,9,8,7,1,1,0,0,0,1.67,4.2,5.25,1.67,4,5,1.7,3.7,4.5,1.65,3.8,5.25,1.67,4.13,5.61,1.67,4,4.75,49,1.72,1.66
E0,13-08-2016,Burnley,Swansea,0,1,A,0,0,D,J Moss,10,17,3,9,10,14,7,4,3,2,0,0,2.4,3.3,3.25,2.45,3.1,2.95,2.5,3.3,2.65,2.45,3.25,3.1,2.47,3.32,3.19,2.5,3.2,2.9,55,2.55,2.43
E0,13-08-2016,Crystal Palace,West Brom,0,1,A,0,0,D,C Pawson,14,13,4,3,12,15,3,6,2,2,0,0,2,3.3,4.5,2,3.2,3.9,2.1,3.3,3.3,2,3.25,4.33,2.06,3.29,4.32,2.05,3.1,4,56,2.1,2.01
E0,13-08-2016,Everton,Tottenham,1,1,D,1,0,H,M Atkinson,12,13,6,4,10,14,5,6,0,0,0,0,3.2,3.4,2.4,2.95,3.2,2.4,2.65,3.3,2.5,3.1,3.4,2.4,3.25,3.43,2.37,3.1,3.1,2.4,55,3.3,3.12
E0,13-08-2016,Hull,Leicester,2,1,H,1,0,H,M Dean,14,18,5,5,8,17,5,3,2,2,0,0,4.5,3.6,1.91,4.33,3.4,1.9,3.3,3.3,2.1,4.5,3.5,1.91,4.43,3.55,1.95,4.2,3.25,1.95,55,4.5,4.17
E0,13-08-2016,Man City,Sunderland,2,1,H,1,0,H,R Madley,16,7,4,3,11,14,9,6,1,2,0,0,1.25,6.5,15,1.22,6,11.5,1.25,5.5,10.3,1.25,6.5,13,1.27,6.48,13.15,1.25,5.5,13,56,1.3,1.25
E0,13-08-2016,Middlesbrough,Stoke,1,1,D,1,0,H,K Friend,12,12,2,1,18,14,9,6,3,5,0,0,2.38,3.2,3.4,2.25,3.1,3.25,2.3,3.3,2.9,2.3,3.2,3.4,2.33,3.24,3.53,2.4,3.1,3.1,56,2.4,2.31
E0,13-08-2016,Southampton,Watford,1,1,D,0,1,A,R East,24,5,6,1,8,12,6,2,1,2,0,1,1.8,3.75,5,1.8,3.4,4.5,1.8,3.5,4.2,1.8,3.6,5,1.88,3.68,4.64,1.83,3.4,4.5,56,1.88,1.82
E0,14-08-2016,Arsenal,Liverpool,3,4,A,1,1,D,M Oliver,9,16,5,7,13,17,5,4,3,3,0,0,2.4,3.5,3.1,2.35,3.3,2.9,2.3,3.3,2.9,2.38,3.4,3.1,2.41,3.53,3.1,2.5,3.1,3,55,2.5,2.36
E0,14-08-2016,Bournemouth,Man United,1,3,A,0,1,A,A Marriner,9,11,3,7,7,10,4,2,0,1,0,0,4.75,3.6,1.85,4.6,3.5,1.75,4.5,3.5,1.75,4.8,3.6,1.8,4.7,3.62,1.88,4.5,3.4,1.85,55,5,4.5
E0,15-08-2016,Chelsea,West Ham,2,1,H,0,0,D,A Taylor,16,7,6,3,16,16,7,1,5,2,0,0,1.65,4,6,1.6,3.75,5.5,1.65,3.6,5.1,1.62,4,6,1.68,4.16,5.48,1.67,3.6,5.5,52,1.71,1.64
E0,19-08-2016,Man United,Southampton,2,0,H,1,0,H,A Taylor,12,13,5,1,11,8,4,0,0,0,0,0,1.53,4.2,7.5,1.48,4.33,8,1.4,4.4,7.3,1.53,4.2,7.5,1.54,4.33,7.19,1.44,4.33,7.5,56,1.62,1.52
E0,20-08-2016,Burnley,Liverpool,2,0,H,2,0,H,L Mason,3,26,2,5,14,5,1,12,0,1,0,0,6.5,4.2,1.57,6.5,4,1.55,5.6,3.9,1.55,6.5,4.1,1.57,7.12,4.2,1.56,7,3.5,1.57,55,7.12,6.43
E0,20-08-2016,Leicester,Arsenal,0,0,D,0,0,D,M Clattenburg,8,13,1,4,11,7,2,7,1,2,0,0,2.88,3.6,2.5,2.75,3.6,2.45,2.75,3.3,2.4,2.9,3.6,2.4,2.92,3.6,2.5,2.88,3.2,2.5,56,3,2.87
E0,20-08-2016,Stoke,Man City,1,4,A,0,2,A,M Dean,8,12,3,6,12,13,7,7,3,4,0,0,5.5,3.8,1.73,5.25,3.8,1.67,4.7,3.6,1.7,5.5,3.75,1.73,5.47,3.96,1.71,5,3.5,1.73,57,5.63,5.11
E0,20-08-2016,Swansea,Hull,0,2,A,0,0,D,S Attwell,13,12,3,4,7,10,8,3,0,0,0,0,1.8,3.6,5.25,1.75,3.6,5,1.8,3.5,4.2,1.8,3.5,5.2,1.78,3.61,5.5,1.83,3.2,4.8,56,1.86,1.79
E0,20-08-2016,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,20,10,5,2,19,9,10,4,3,3,0,0,1.45,4.75,8,1.44,4.5,7.75,1.5,4,6.1,1.45,4.5,8,1.47,4.78,7.82,1.5,3.6,8.5,56,1.51,1.46
E0,20-08-2016,Watford,Chelsea,1,2,A,0,0,D,J Moss,6,13,2,4,20,10,0,5,4,3,0,0,5.5,3.8,1.73,5.5,3.7,1.67,4.2,3.5,1.8,5.25,3.75,1.73,5.44,3.74,1.76,5.5,3.3,1.73,56,5.75,5.22
E0,20-08-2016,West Brom,Everton,1,2,A,1,1,D,N Swarbrick,11,13,4,7,16,10,7,4,3,1,0,0,3,3.25,2.6,2.95,3.1,2.55,2.85,3.2,2.4,3,3.2,2.6,3.11,3.19,2.6,2.7,3.2,2.62,56,3.13,2.97
E0,21-08-2016,Sunderland,Middlesbrough,1,2,A,0,2,A,M Atkinson,18,8,5,3,11,14,8,1,1,1,0,0,2.55,3.2,3.1,2.5,3.1,3.1,2.3,3.2,3,2.5,3.2,3.1,2.61,3.22,3.06,2.6,3.2,2.75,56,2.64,2.52
E0,21-08-2016,West Ham,Bournemouth,1,0,H,0,0,D,C Pawson,15,8,2,5,15,15,1,6,3,1,0,1,1.95,3.75,4,1.91,3.6,4,1.8,3.5,4.2,1.95,3.6,4.1,1.98,3.75,4.02,1.91,3.2,4.33,55,2.03,1.94
E0,27-08-2016,Chelsea,Burnley,3,0,H,2,0,H,M Clattenburg,22,6,10,0,6,9,9,5,2,2,0,0,1.25,5.5,15,1.25,6,12,1.25,5.5,10.3,1.29,5.5,13,1.26,6.35,14.35,1.29,5,12,54,1.3,1.25
E0,27-08-2016,Crystal Palace,Bournemouth,1,1,D,0,1,A,M Dean,24,10,5,3,15,10,10,4,2,1,0,0,2.3,3.2,3.3,2.35,3.2,3.2,2.4,3.3,2.75,2.38,3.25,3.25,2.33,3.38,3.39,2.38,3.2,3.1,54,2.4,2.31
E0,27-08-2016,Everton,Stoke,1,0,H,0,0,D,M Oliver,21,8,9,1,14,11,9,2,2,1,0,0,1.73,3.6,5.25,1.72,3.75,5,1.7,3.6,4.7,1.73,3.75,5.25,1.74,3.79,5.55,1.75,3.6,4.75,54,1.77,1.72
E0,27-08-2016,Hull,Man United,0,1,A,0,0,D,J Moss,8,29,2,9,9,6,1,6,2,3,0,0,8,4.1,1.44,7,4.5,1.45,6.1,4,1.5,8,4.5,1.45,8.35,4.6,1.46,7,4,1.5,55,8.5,7.8
E0,27-08-2016,Leicester,Swansea,2,1,H,1,0,H,R East,13,9,6,3,14,10,4,6,2,2,0,0,1.73,3.6,5.25,1.72,3.75,5,1.75,3.5,4.5,1.75,3.5,5.5,1.71,3.88,5.57,1.73,3.6,5,54,1.78,1.72
E0,27-08-2016,Southampton,Sunderland,1,1,D,0,0,D,L Mason,16,5,7,2,15,8,5,5,2,2,0,0,1.57,3.6,6.5,1.6,3.9,6,1.65,3.6,5.1,1.62,3.8,6.5,1.61,4.03,6.63,1.62,3.6,6,54,1.65,1.6
E0,27-08-2016,Tottenham,Liverpool,1,1,D,0,1,A,R Madley,11,13,4,3,11,17,5,5,3,5,0,0,2.38,3.4,3,2.4,3.5,2.9,2.4,3.3,2.75,2.4,3.5,3,2.36,3.56,3.17,2.38,3.4,2.9,55,2.5,2.37
E0,27-08-2016,Watford,Arsenal,1,3,A,0,3,A,K Friend,14,10,6,7,18,15,3,2,6,1,0,0,5,3.75,1.73,5,3.75,1.72,4.5,3.5,1.75,5,3.75,1.75,5.47,3.91,1.72,4.6,3.75,1.73,55,5.5,5.12
E0,28-08-2016,Man City,West Ham,3,1,H,2,0,H,A Marriner,22,9,5,2,5,10,5,4,1,3,0,0,1.25,6,11,1.28,6,10,1.25,5.5,10.3,1.3,6,10,1.3,6.3,10.91,1.3,5.5,9.5,52,1.33,1.28
E0,28-08-2016,West Brom,Middlesbrough,0,0,D,0,0,D,A Taylor,13,7,2,2,12,11,5,4,1,3,0,0,2.6,3.1,2.9,2.5,3.1,3.1,2.5,3.2,2.75,2.62,3,3.1,2.6,3.09,3.2,2.6,2.9,3,54,2.63,2.56
E0,10-09-2016,Arsenal,Southampton,2,1,H,1,1,D,R Madley,17,11,2,5,10,8,6,1,2,5,0,0,1.57,4.2,6.5,1.55,4.2,6,1.55,3.9,5.6,1.57,4.2,6.5,1.6,4.35,6.15,1.62,3.5,6.5,56,1.63,1.57
E0,10-09-2016,Bournemouth,West Brom,1,0,H,0,0,D,K Friend,12,12,5,2,9,11,10,5,1,3,0,0,2.05,3.25,4.33,2,3.3,4,2.1,3.2,3.4,2.05,3.25,4.2,2.05,3.31,4.33,2.1,3,4,56,2.1,2.02
E0,10-09-2016,Burnley,Hull,1,1,D,0,0,D,P Tierney,13,11,2,3,13,3,5,9,2,0,0,0,2.45,3.1,3.4,2.4,3.1,3.2,2.5,3.2,2.75,2.4,3.2,3.25,2.44,3.21,3.36,2.3,3.1,3.3,56,2.5,2.41
E0,10-09-2016,Liverpool,Leicester,4,1,H,2,1,H,C Pawson,17,12,11,3,4,8,1,7,1,2,0,0,1.7,4,5.5,1.67,4,5.5,1.6,3.7,5.4,1.7,3.8,5.5,1.7,3.97,5.54,1.7,3.75,5.5,57,1.7,1.66
E0,10-09-2016,Man United,Man City,1,2,A,1,2,A,M Clattenburg,14,18,3,6,15,10,4,4,4,2,0,0,2.38,3.25,3.4,2.3,3.3,3.5,2.4,3.2,2.85,2.38,3.25,3.3,2.38,3.31,3.35,2.38,3.2,3.4,57,2.4,2.32
E0,10-09-2016,Middlesbrough,Crystal Palace,1,2,A,1,1,D,N Swarbrick,12,12,4,4,5,9,6,6,1,2,0,0,2.3,3.2,3.6,2.2,3.2,3.5,2.2,3.2,3.2,2.3,3.2,3.5,2.31,3.2,3.65,2.38,3.1,3.2,56,2.38,2.27
E0,10-09-2016,Stoke,Tottenham,0,4,A,0,1,A,A Taylor,15,20,2,8,13,18,10,8,3,2,0,0,4.6,3.75,1.85,4.6,3.6,1.8,4,3.45,1.85,4.33,3.75,1.85,4.34,3.82,1.89,4.8,3.2,1.85,57,4.8,4.38
E0,10-09-2016,West Ham,Watford,2,4,A,2,2,D,M Atkinson,19,13,4,8,10,15,4,4,2,2,0,0,1.91,3.6,4.5,1.83,3.5,4.5,1.8,3.5,4.2,1.91,3.5,4.5,1.9,3.6,4.62,1.91,3.2,4.5,56,1.95,1.88
E0,11-09-2016,Swansea,Chelsea,2,2,D,0,1,A,A Marriner,6,28,2,7,17,8,1,11,3,4,0,0,5.75,4,1.67,5.75,4,1.65,5.1,3.6,1.65,5.5,4,1.67,5.77,4.17,1.65,6,3.6,1.62,57,6,5.45
E0,12-09-2016,Sunderland,Everton,0,3,A,0,0,D,M Jones,11,20,2,9,11,8,5,4,1,1,0,0,3.8,3.5,2.1,3.8,3.5,2.1,3.3,3.3,2.1,3.8,3.4,2.1,3.75,3.6,2.1,3.75,3.2,2.1,55,3.8,3.59
E0,16-09-2016,Chelsea,Liverpool,1,2,A,0,2,A,M Atkinson,12,13,4,5,6,13,6,4,1,1,0,0,2.25,3.5,3.4,2.25,3.5,3.3,2.3,3.3,3.15,2.25,3.5,3.3,2.28,3.49,3.4,2.3,3.4,3.4,57,2.33,2.25
E0,17-09-2016,Everton,Middlesbrough,3,1,H,3,1,H,L Mason,11,7,6,0,5,15,6,3,2,1,0,0,1.67,3.8,6,1.65,3.8,5.5,1.7,3.7,5,1.65,3.8,6,1.65,3.99,6.19,1.7,3.2,6,57,1.7,1.65
E0,17-09-2016,Hull,Arsenal,1,4,A,0,1,A,R East,6,24,2,9,9,12,2,4,0,2,1,0,6,4.2,1.6,6,4,1.57,5.5,4,1.6,6,4.2,1.57,6.03,4.2,1.6,6,3.6,1.62,57,6.5,5.94
E0,17-09-2016,Leicester,Burnley,3,0,H,1,0,H,A Taylor,14,7,6,2,10,9,7,1,0,1,0,0,1.5,4.33,8,1.53,4.1,6.5,1.6,4,5.5,1.5,4.2,7.5,1.46,4.49,8.87,1.5,3.75,8,56,1.6,1.48
E0,17-09-2016,Man City,Bournemouth,4,0,H,2,0,H,J Moss,20,6,12,2,8,11,5,5,1,1,1,0,1.29,6,12,1.26,6.25,10,1.25,6,11,1.29,5.75,12,1.28,6.24,12.78,1.29,5,12,56,1.35,1.28
E0,17-09-2016,West Brom,West Ham,4,2,H,3,0,H,M Clattenburg,8,23,6,5,14,6,2,6,2,1,0,0,2.8,3.2,2.8,2.75,3.1,2.75,2.6,3.25,2.75,2.7,3.2,2.88,2.9,3.19,2.76,2.7,3.1,2.7,55,2.9,2.73
E0,18-09-2016,Crystal Palace,Stoke,4,1,H,2,0,H,C Pawson,14,11,8,4,15,9,10,5,2,1,0,0,2,3.5,4.2,2,3.4,3.9,2.1,3.4,3.5,2,3.4,4.2,2.09,3.37,4.08,2.05,3.1,4,57,2.1,2.03
E0,18-09-2016,Southampton,Swansea,1,0,H,0,0,D,M Jones,19,9,6,3,14,9,7,1,1,1,0,0,1.7,3.8,5.75,1.65,3.6,5.25,1.7,3.7,5,1.7,3.75,5.5,1.68,3.84,6.17,1.7,3.4,5.5,56,1.73,1.68
E0,18-09-2016,Tottenham,Sunderland,1,0,H,0,0,D,M Dean,31,6,9,2,7,16,14,1,1,5,0,1,1.33,5.5,11,1.28,5.5,9.25,1.35,5.3,8,1.3,5.5,11,1.35,5.52,10.26,1.33,4.33,12,57,1.39,1.33
E0,18-09-2016,Watford,Man United,3,1,H,1,0,H,M Oliver,10,15,5,2,14,19,5,7,3,4,0,0,6,4.2,1.62,5.5,4,1.62,5.5,4,1.6,6,4.1,1.6,5.8,4.12,1.65,6,3.6,1.62,57,6.4,5.67
E0,24-09-2016,Arsenal,Chelsea,3,0,H,3,0,H,M Oliver,14,9,5,2,9,11,9,1,0,2,0,0,2.4,3.5,3.1,2.4,3.4,3.1,2.35,3.3,3.05,2.4,3.4,3.1,2.35,3.53,3.21,2.4,3.2,3.2,55,2.46,2.35
E0,24-09-2016,Bournemouth,Everton,1,0,H,1,0,H,R Madley,12,13,1,2,10,14,5,3,2,2,0,0,3.6,3.5,2.15,3.6,3.4,2.1,3.5,3.4,2.1,3.6,3.4,2.15,3.79,3.57,2.1,3.6,3.4,2.15,55,3.79,3.55
E0,24-09-2016,Liverpool,Hull,5,1,H,3,0,H,A Marriner,32,2,12,1,8,8,13,2,1,2,0,1,1.22,7,15,1.22,6.5,13,1.25,6,11,1.22,6.5,14,1.23,7,15.54,1.25,6,13,56,1.27,1.22
E0,24-09-2016,Man United,Leicester,4,1,H,4,0,H,M Dean,16,10,7,3,9,12,8,6,0,2,0,0,1.73,3.9,5.25,1.67,4,5.5,1.65,3.8,5.3,1.73,3.9,5,1.74,3.86,5.39,1.7,3.75,5.5,57,1.76,1.71
E0,24-09-2016,Middlesbrough,Tottenham,1,2,A,0,2,A,G Scott,6,19,2,5,14,9,2,10,2,1,0,0,3.75,3.5,2.1,3.75,3.5,2,4.1,3.5,1.9,3.75,3.4,2.1,3.73,3.48,2.15,4,3.4,2,55,4.1,3.7
E0,24-09-2016,Stoke,West Brom,1,1,D,0,0,D,M Atkinson,12,9,2,3,9,13,6,6,3,4,0,0,2.38,3.3,3.3,2.3,3.2,3.3,2.3,3.3,3.15,2.38,3.25,3.25,2.34,3.35,3.4,2.3,3.3,3.3,55,2.4,2.33
E0,24-09-2016,Sunderland,Crystal Palace,2,3,A,1,0,H,A Taylor,11,20,4,4,15,12,3,5,0,2,0,0,2.88,3.25,2.7,2.8,3.2,2.6,2.7,3.3,2.6,2.88,3.25,2.62,2.88,3.3,2.7,2.8,3.2,2.7,56,2.95,2.81
E0,24-09-2016,Swansea,Man City,1,3,A,1,1,D,N Swarbrick,13,18,5,4,15,9,2,7,2,4,0,0,9,5.5,1.36,7.5,5,1.4,7.5,4.8,1.4,8.5,5.25,1.36,9.45,5.31,1.38,9,4.5,1.4,55,9.5,8.38
E0,25-09-2016,West Ham,Southampton,0,3,A,0,1,A,J Moss,13,18,1,9,9,14,6,2,5,2,0,0,2.8,3.3,2.75,2.8,3.3,2.7,2.7,3.3,2.6,2.8,3.25,2.7,2.83,3.35,2.72,2.8,3.2,2.7,56,2.9,2.78
E0,26-09-2016,Burnley,Watford,2,0,H,1,0,H,M Jones,13,12,4,3,11,15,7,6,1,3,0,0,2.9,3.2,2.7,2.9,3.2,2.65,2.65,3.3,2.65,2.9,3.2,2.62,3.09,3.21,2.59,2.75,3.25,2.7,53,3.09,2.9
E0,30-09-2016,Everton,Crystal Palace,1,1,D,1,0,H,J Moss,13,10,3,2,16,11,10,9,5,4,0,0,1.73,4,5,1.72,3.75,5,1.75,3.6,4.8,1.73,3.9,5,1.74,3.95,5.25,1.75,3.8,5,54,1.77,1.73
